input,label,output
You are clearly just too young to understand this issue!,6,ad hominem
"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial.",11,deductive fallacy
"We need to fix our broken judicial system by electing new people.
This logical fallacy is called...",2,circular reasoning
"This is an emotional appeal that speaks the concept that many people agree or disagree, so you should, too",3,ad populum
"I thought you were a good person, but you weren't in class today.",4,false dilemma
"If it's brown, flush it down.
I flushed it down.
Therefore, it was brown.",11,deductive fallacy
Either we ban teenagers from possessing cell phones or we continue to let thousands of young students fail their classes.,4,false dilemma
Smoking pot is against the law because it is wrong; I know it is wrong because it is against the law,2,circular reasoning
"Why should merely cracking down on terrorism help to stop it, when that method hasn't worked in any other country?",10,intentional fallacy
SM 3: Polls concerning global warming,3,ad populum
"Everyone is selfish; everyone is doing what he believes will make himself happier. The recognition of that can take most of the sting out of accusations that you're being selfish. Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?
What's the logical fallacy?",3,ad populum
"Jimmy stole Tommy's lunch in the past.

Therefore, it is acceptable for Tommy to steal Jimmy's lunch today.",5,fallacy of relevance
"Which fallacy is the following example? By rejecting God, you are rejecting goodness, kindness, and love itself.",7,appeal to emotion
"I saw Ashton Kutcher in a commercial for male skin care. He's looking good for his age, so I'm willing to try the product. He must know what he's talking about.",9,fallacy of credibility
", rather than on his arguments or opinions.",6,ad hominem
Art lifts the human spirit.,0,faulty generalization
"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!",2,circular reasoning
Debate moderator: What will you do to fix the economic crisis? Candidate: It's important to focus on what started this crisis to begin with. My opponent...,5,fallacy of relevance
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",0,faulty generalization
"In order to really look at the problem of global warming, we must first consider how the homeless suffer when it is cold.",5,fallacy of relevance
"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",7,appeal to emotion
All people from Pinole are liars,6,ad hominem
I don't know how Professor Resnick can be such a hard grader.  He's always late for class.,6,ad hominem
"I should receive an 'A' in this class. After all, if I don't get an 'A' I won't get the fellowship that I want.",7,appeal to emotion
"Student: Logical Fallacies have nothing to do with my life and I don't want to learn them!
Teacher: You are too young to understand why it's important!
Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas!
Maestro: Eres demasiado joven para entender por qué es importanto!",6,ad hominem
"I don't see how you can believe he is not guilty of that crime. He's a terrible person and I can prove it. In fact, several years ago he was convicted of that same kind of crime.",5,fallacy of relevance
"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",0,faulty generalization
"Dustin: Why do you always deflect the argument by insulting me?
Ann: You're ugly and poor!",6,ad hominem
We cannot support immigrants because we have too many homeless and poor Americans.,4,false dilemma
Sandra is an angel from heaven. She gave me a free lunch today.,11,deductive fallacy
"We cannot listen to John's opinion on global warming because he is a tree hugger.
No podemos escuchar la opinión de John sobre el calentamiento global porque es un abrazador de árboles.",6,ad hominem
Repeating the same thing as if you're proving something,2,circular reasoning
"TOPIC: Should people let their cats go outside?
DEBATE: People should let their cats go outside. Going outside gives cats more exercise.
Speaking of exercise, have you ever played 'Just Dance'? What a great workout!",5,fallacy of relevance
"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",9,fallacy of credibility
"Mother: You should stop smoking. It's harmful to your health.
Daughter: Why should I listen to you? You started smoking when you were 16!",6,ad hominem
"When an advertiser tries to make a connection with the audience emotionally through sappy stories, music, sad puppies, etc...",7,appeal to emotion
"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world.  therefore, it's reasonable to conclude that chocolate helps keep your weight down.",1,false causality
"If you don't expose your child to germs, he will never get sick. Therefore, he will never build up his immune system to fight illness. He will grow up to be a sickly adult.",0,faulty generalization
"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",1,false causality
I dropped the ball because Mercury is in retrograde.,1,false causality
You moved the goalposts or made up an exception when your claim was shown to be false.,10,intentional fallacy
"You should drive on the right side of the road because that is what the law says, and the law is the law.",2,circular reasoning
"Schools should provide nutritious lunches to students.
So schools should take money away from technology and necessary supplies in the classroom?",8,fallacy of extension
"If you hadn't vandalized that car, don't you think things would have gone better for you?",10,intentional fallacy
"Southerners talk fast. I was just on the phone with one, and I could barely keep up!",0,faulty generalization
"“I know that what I experience is real because I can see, hear, smell, touch and taste everything.”",2,circular reasoning
Senator Li announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!,8,fallacy of extension
"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose?
Steve: I chose 1, 2, 3, 4, 5, 6.
Eric: You idiot!  Those numbers will never come up!",1,false causality
"My political candidate gives 10% of his income to the needy, goes to church every Sunday, and volunteers one day a week at a homeless shelter.  Therefore, he is honest and morally straight.",10,intentional fallacy
Children should not listen to rap music. Everyone knows that.,3,ad populum
"What I object to most about those people who oppose capital punishment is that they believe that the lives of convicted murderers are more important than the lives of the police and prison guards who protect us. But, obviously, since the lives of those who protect us are of the greatest value, no one should oppose capital punishment.",8,fallacy of extension
"Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it! is an example of which logical fallacy?",3,ad populum
"Ted: Biological evolution is both a theory and a fact.
Edwin: That is ridiculous!  How can you possibly be absolutely certain that we evolved from pond scum!
Ted: Actually, that is a gross misrepresentation of my assertion.  I never claimed we evolved from pond scum.  Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent.  The empirical evidence for the fact that biological evolution does occur falls into this category.",8,fallacy of extension
"If one is 16 years old or older, one can drive an automobile in Wisconsin.  I saw  your niece driving through Wausau yesterday.  She must be at least 16.",11,deductive fallacy
SM 6: North invading South during Civil War,8,fallacy of extension
"There are seven windows given to animals in the domicile of the head: two nostrils, two eyes, two ears, and a mouth...From this and many other similarities in Nature, too tedious to enumerate, we gather that the number of planets must necessarily be seven.",11,deductive fallacy
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says I can't believe she doesn't believe in climate change.",8,fallacy of extension
There aren't enough parking spaces on campus because there are too many cars.,2,circular reasoning
"Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.",6,ad hominem
The Bible is the Word of God because God tells us it is... in the Bible.,2,circular reasoning
My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,8,fallacy of extension
"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.",11,deductive fallacy
"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime.",1,false causality
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?",0,faulty generalization
"Grace and Helen were both romantically interested in Brad. One day, with Brad sitting within earshot, Grace asked in an inquisitive tone whether Helen was still having problems with her drug habit.",10,intentional fallacy
Appealing to popularity or the fact that many people do something as an attempted form of validation,3,ad populum
"If I'm psychic, I will be able to see dead people. I see dead people, therefore I'm psychic.",11,deductive fallacy
It's cold on a summer day. Global warming is a hoax.,1,false causality
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.",0,faulty generalization
Marcus wants to go to a small community college close to home because all of his friends are there.,3,ad populum
"If the government allows psychologists to prescribe medications there will be no basis to block them from obtaining competence and legal authority to conduct other traditionally medical procedures such as diagnosing minor skin irritations, treating a sprained ankle, setting a broken bone, and performing neurosurgery. Or: Never reduce a fee for any patient for any reason or else you'll find yourself constantly reducing fees for everyone, everyone will take advantage of you, your patients will lose respect for you and for therapy, and you'll loose money and go bankrupt.",0,faulty generalization
All women are bad drivers.,0,faulty generalization
A persuasive technique used in media messages that appeals to the “everyone is doing it” mentality,3,ad populum
We shouldn't put her in jail even if she stole billions of pesos. She is already too old to be locked up.,7,appeal to emotion
"Jon: Go easy on the scotch; you've had three shots already now. Jeff: Oh sure, I'll put down my scotch when you put down that tequila. Lay off, man.",5,fallacy of relevance
"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation.",3,ad populum
You're not feeling well because you use your phone so much.,1,false causality
"The meteorologist predicted the wrong amount of rain for May. Obviously, the meteorologist is unreliable.",0,faulty generalization
People who learn from their mistakes don't repeat them.,0,faulty generalization
"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",1,false causality
blame opponent's policy for the country's problems,1,false causality
"The book Investing for Dummies really helped me understand my finances better. The book Chess for Dummies was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",11,deductive fallacy
"Oh, please. What do you know about labor laws? You don't even have a job.",6,ad hominem
"If you don't say the Pledge of Allegiance, then you must be a traitor.",4,false dilemma
“against the man;” attacking the individual rather than their position.,6,ad hominem
"Since the class is not asking any further questions, then that means that they are all ready for the test.",10,intentional fallacy
"Kent: My new car is really fast.

Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",8,fallacy of extension
"You support capital punishment just because you want an “eye for an eye,” but I have several good reasons to believe that capital punishment is fundamentally wrong.",8,fallacy of extension
"Mr. Stark's idea for implementing affirmative action in the university's admission process is complete folly. He say's he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender or the color of their skin, then what's going to happen to our reputation?

Identify the logical fallacy commited in this argument.",8,fallacy of extension
We should ban all hairspray or the world will end!,4,false dilemma
“It's important to argue logically because logic is an essential part of argumentation.”,2,circular reasoning
Never be kind and generous to the poor. They'll come to expect your help always and never learn to contribute to society.,0,faulty generalization
Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.,1,false causality
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,7,appeal to emotion
"It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why, look at all the people trapped in jobs they don't like.",11,deductive fallacy
You appealed to popularity or the fact that many people do something as an attempted form of validation.,3,ad populum
Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.,8,fallacy of extension
"Nicole identified that Hannah had committed a logical fallacy, but instead of addressing the substance of her claim, Hannah accused Nicole of committing a fallacy earlier on in the conversation.",6,ad hominem
My uncle eats pizza and cake and he is thin. Pizza and cake aren't the cause of obesity.  is an example of,0,faulty generalization
"Person 1: If you are a Marvel fan then you love Avengers: Endgame.
Person 2: I am a Marvel fan and I did not love Avengers: Endgame.
Person 1: Well you aren't a TRUE Marvel fan.”",10,intentional fallacy
You should fly an American flag off your front porch. It's the patriotic thing to do.,3,ad populum
"IBM is a reputable organization, so all of its employees must be reputable.",0,faulty generalization
Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.,0,faulty generalization
"Coronavirus originated in China, therefore all Chinese people are sick.",8,fallacy of extension
"At a recent cocktail party, the conversation has turned to family pets, and your friend asks you “Are you a cat or a dog person?",4,false dilemma
"Bill and Jill are arguing about cleaning out their closets:
Jill: We should clean out the closets. They are getting a bit messy.
Bill: Why, we just went through those closets last year. Do we have to clean them out everyday?
Jill: I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.",8,fallacy of extension
"My neighbor's cat attacked me, therefore all cats are evil.",0,faulty generalization
"I have no intention of stopping the use of somatostatin on patients suffering from acute pancreatitis. I consider it to be a very reasonable choice. After all, it has been standard practice in our department for many years and we've been quite satisfied with the results we've had.",9,fallacy of credibility
"If someone told you, Kyra doesn't know anything about science because she likes weird music, what logical fallacy are they using?",6,ad hominem
Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called ugly and horrendous to look at.,8,fallacy of extension
"That lady had a rough day today. She woke up late, she was not able to eat breakfast, she missed the train and was late for work. My heart aches for this poor lady.",7,appeal to emotion
"My opponent suggests that lowering taxes will be a good idea, this is coming from a woman to eats a pint of Ben and Jerry's each night!",6,ad hominem
"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",1,false causality
"'Our family has always been farmers, so we should always be farmers'' is an example of which logical fallacy?",9,fallacy of credibility
We think this new MallTime game app will be a success because all girls like shopping.,0,faulty generalization
"When an animal rights activist says, Keeping a dog as a pet is every bit as evil as human slavery. Pet owners are the KKK of the 21st century, they are committing what logical fallacy?",5,fallacy of relevance
"My wife wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.",5,fallacy of relevance
If Mr. Stiedemann assigns us homework then I can't work on other assignments in my other classes. Then my teachers will get mad and cause me to get angry. Then my anger will lead to behavioral issues and I'll get suspended.,0,faulty generalization
"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.",1,false causality
"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",6,ad hominem
I stay away from those gatherings because I don't want to be brainwashed.,2,circular reasoning
I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,0,faulty generalization
"A is true because B is true, and B is true because A is true.",2,circular reasoning
We surveyed all the customers in the store and they all agreed that staying open 24 hours would be a great idea. We need to put together a 24-hour schedule as soon as possible.,3,ad populum
The speaker insinuates that there are only two options despite this not being true.,4,false dilemma
"Pastor Pete: People are turning to God everywhere!  9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.
Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",0,faulty generalization
“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”,4,false dilemma
"(1) William Dembski argues that modern biology supports the idea that there is an intelligent designer who created life.
(2) Dembski would say that because he's religious.
Therefore:
(3) Modern biology doesn't support intelligent design",6,ad hominem
"Major in English in college, start reading poetry, and next thing you know, you will become an unemployed pot-smoking loser.",0,faulty generalization
"The Church used to claim that giving 10% of your income to the Church will free a child's soul from Limbo into Heaven, so clearly giving money to the Church is a scam!",1,false causality
I knew him in high school and he almost flunked out. He can't be a good choice for mayor.,6,ad hominem
"Senator: I will vote to increase the defense budget.

Public: Why don't you care about education?",8,fallacy of extension
"If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.",0,faulty generalization
You were late tonight. You must be cheating!,0,faulty generalization
This fallacy attacks a position the opponent doesn't really hold.,8,fallacy of extension
You can't be my partner in class because you didn't donate to the Hurricane Sandy fundraiser.,6,ad hominem
"My three decades of experience in public service, my tireless commitment to the people of this community, and my willingness to reach across the aisle and cooperate with the opposition, make me the ideal candidate for your mayor.  Which appeal is the primary appeal used in this quote?",9,fallacy of credibility
This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.,3,ad populum
"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",6,ad hominem
I asked six of my friends what they thought of the new spending restraints and they agreed it is a good idea. The new restraints are therefore generally popular.,0,faulty generalization
"In the race for mayor, Lara says a vote for her opponent will lead to you losing your job. What fallacy has she committed?",7,appeal to emotion
"If you write to Mrs. Roth and tell her: Mrs Roth, I know I haven't done any of the assignments, but I need a C anyway because I'm asking nicely and I'm good person, and I'm going to get in trouble if you don't.",7,appeal to emotion
"Louise is running for class president. In her campaign speech she says, My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year. What fallacy has Louise committed?
http://www.funtrivia.com",6,ad hominem
The mayor argued that we need to reduce funding for the animal shelter in order to balance the budget. Don't vote for someone who doesn't think the government should care about animals.,8,fallacy of extension
"It is possible aliens built the pyramids. Therefore, aliens built the pyramids.",11,deductive fallacy
"Person 1: I think pollution is the cause of climate change.

Person 2: So you think humans cause hurricanes and tornadoes and tsunamis?",8,fallacy of extension
How many school shootings should we tolerate before we change the gun laws?,10,intentional fallacy
All engineers are introverts who would rather relate to computers than people.,0,faulty generalization
"Dave: For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children.  Therefore, it is my duty to become a doctor.
Kaitlin: Do you want to become a doctor?
Dave: It doesn't matter -- it is our family tradition.  Who am I to break it?",9,fallacy of credibility
"When you are late getting home-past curfew-you distract your parents by talking to them about the weather-how cold it is, or how rainy it is.",5,fallacy of relevance
"We haven't found the ruins of Troy, so the city of Troy didn't really exist.",10,intentional fallacy
Bush was determined to knock down Saddam Hussein because of his nuclear  bomb potential.,1,false causality
Why should we worry about the negative depiction of women in music videos when thousands of women are dying of AIDS each year?,11,deductive fallacy
This fallacy (also known as “false dilemma”) occurs when a speaker or writer makes a veiled threat by reducing a complex issue to two options: either you see it my way or this bad thing will happen.,4,false dilemma
"“My wife wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.”",5,fallacy of relevance
"While in math class, the student next to you says “math makes no sense, it can't be real so I must not need this.” What fallacy did this student commit?",10,intentional fallacy
"“[Everyone else is buying it, so you should too!]”",3,ad populum
"Kirk drew a picture of a fish and a human and with effusive disdain asked Richard if he really thought we were stupid enough to believe that a fish somehow turned into a human through just, like, random things happening over time.",10,intentional fallacy
"If we legalize marijuana, then more people will try heroin",0,faulty generalization
"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California.",9,fallacy of credibility
Putting teenagers in sex-education classes is like taking an alcoholic to a bar.,11,deductive fallacy
"Advocates for a tight virus response say we need to limit the spread. What they're really saying is we need to shut down everything forever, leading to massive economic damage.",8,fallacy of extension
Broccoli has significantly less fat than the leading candy bar!,0,faulty generalization
"This is usually used in a company's slogan, using words that are very vague and nonspecific, but sound really nice. ex: Eat Fresh. Expect More. Pay Less.",7,appeal to emotion
"Claiming that If you elect him, the Dow Jones will tumble and you will lose all of your money! is an example of:",7,appeal to emotion
"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve. (This is an example of...)",0,faulty generalization
"The lady in the pink dress is Julia Roberts.
The reporter thinks Julia Roberts drives a Prius.
Therefore, the reporter thinks the lady in the pink dress drives a Prius.",11,deductive fallacy
That politician wants you to think he loves America. His last rally had 20 American flags flying behind him IS an example of this fallacy.,3,ad populum
4 percent of Americans believe that lizard people control politics.,10,intentional fallacy
"If we control Covid-19 with measures that are too draconian, we could wind up with a government that regularly clamps down on its citizens, with bar codes on wrists and cameras in your houses that watch you all the time.",0,faulty generalization
"The ideas from that member of the club are wrong, but he isn't actually a true member of the club so his ideas do not matter.",10,intentional fallacy
They are dangerous militants out to destroy our peaceful way of life.,7,appeal to emotion
Believing that runs occur to statistically independent phenomena such as routine wheel spirits.,3,ad populum
"I am athletic because I run, and I run because I'm athletic.",2,circular reasoning
"Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity SHOWS evidence of what fallacy?",3,ad populum
"A is part of B. A has property X. Therefore, B has property X. What fallacy is described in this logical form?",0,faulty generalization
"P1. Smoking has been empirically proven to cause lung cancer.
C. Therefore, if we eradicate smoking, we will eradicate lung cancer.",1,false causality
There is a global recession and more people are becoming hungry and desperate. Crimes of theft and robbery have been increasing at an alarming rate lately. The only way to solve this problem is by reinstating the death penalty,5,fallacy of relevance
the phrase Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true. represents which fallacy?,3,ad populum
"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I'm sure what he says isn't true at all.",6,ad hominem
Justin's mom gets his phone bill and he has gone over the limit. He begins talking to her about how hard his math class is and how well he did on a test today.,5,fallacy of relevance
He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.,11,deductive fallacy
"In the court trial deliberations, Juror Seven says, There are still eleven of us who think he's guilty. You're alone. His attempt to use numbers to persuade Eight is:",3,ad populum
Trying the latest social media challenge is a good example of what logical fallacy?,3,ad populum
"When Donald Trump called Hillary Clinton “Killary” to discredit her and her reputation as a presidential candidate, he committed which logical fallacy?",6,ad hominem
Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming.,8,fallacy of extension
"My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn't family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?",6,ad hominem
"Either you love me, or you hate me.",4,false dilemma
"So you are saying your car is worth $20k.  I think it is worth $1, so let's just compromise and say it is worth $10k. (Assuming the car is worth $20k)",5,fallacy of relevance
Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets.,5,fallacy of relevance
"Three kids in one class failed the Jane Eyre quiz, I guess,all the other classes will all fail it, too.",0,faulty generalization
iPhones are the best phone because everyone has them.,3,ad populum
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It's a code of conduct shared by cultures.

Ken: But who creates this code?...",5,fallacy of relevance
You're wrong because you're ugly!,6,ad hominem
"I had a bad teacher once; therefore, all teachers must be bad.",0,faulty generalization
"Mr. Gough supports the cell phone ban and he's an idiot, so we should let teachers keep their cell phones.",6,ad hominem
You can't give me a C. I'm an A student.,2,circular reasoning
Everyone is buying the new iPhone that's coming out this weekend. You have to buy it too,3,ad populum
"All lions are animals.
All cats are animals.
Therefore, all lions are cats.",11,deductive fallacy
Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president?,6,ad hominem
"Martin: All white people are not racists.
Charlie: Yes they are. You just believe that because you are white.",6,ad hominem
"The owner of the car dealership by my house told me I need a new car, and he would know since he works in the industry.",9,fallacy of credibility
"In paragraph 43, Rodriguez accuses the middle-class ethnics of being guilty of which of the following logical fallacies?",0,faulty generalization
"Michael Jordan wears Hanes underwear, so you should too!",9,fallacy of credibility
"Despite the fact that our Q4 numbers are much lower than usual, we should push forward using the same strategy because our CEO Barbara says this is the best approach.",9,fallacy of credibility
"Some of you have objected to the new test batteries that were purchased for our program, alleging that they have no demonstrable validity, were not adequately normed for the kind of clients we see, and are unusable for clients who are physically disabled. What you have conveniently failed to mention, however, is that they cost less than a third of the price for the other tests we had been using, are much easier to learn, and can be administered and scored in less than half the time of the tests we used to use.",5,fallacy of relevance
What drugs were you on?,10,intentional fallacy
"In class, Ryan turns to Doug and says, Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.",5,fallacy of relevance
"Without this additional insurance, you could find yourself broke and homeless.",7,appeal to emotion
"I have been around the block many times, and I have had my share of success.  So believe me when I tell you that there is no better hobby than cat-juggling.",9,fallacy of credibility
It must be acknowledged that [whatever psychological test battery I use] is the only legitimate test battery.,2,circular reasoning
The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.,6,ad hominem
We should pass a constitutional amendment making it illegal to burn the American flag. Anyone who thinks otherwise just hates America.,8,fallacy of extension
"The majority of people are voting for John Doe, so he must be the best candidate.",3,ad populum
My fridge isn't working. I should probably finish that book I've been reading.,11,deductive fallacy
"If you eat a good diet, you will never have a heart attack.",0,faulty generalization
Mayor Kerr wants to create more bicycle lanes in Greenpoint. Why is he forcing us to give up our cars and bike everywhere?,8,fallacy of extension
"When someone says, Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!",4,false dilemma
Everyone should like coffee: 95% of teachers do!,3,ad populum
"Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs.",2,circular reasoning
"If you don't say the Pledge of Allegiance, then you must be a traitor.",4,false dilemma
"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",0,faulty generalization
Old Major's speech claiming that ALL the animals will unite and revolt against the humans,3,ad populum
"If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career",0,faulty generalization
"We must legalize weed, it is tearing families apart. Response: But look at all those druggies getting arrested, they are obviously criminals.",5,fallacy of relevance
"All men are mortal, and Socrates is a man, therefore Socrates likes dogs.",11,deductive fallacy
"There were wonderful psychologists who passed away several decades ago. If they could be effective in what they did without reading any of the studies or other articles that have been published in the last several decades, there's no need for me to read any of those works in order to be effective.",11,deductive fallacy
"Al Gore's support of the discussion of sexual orientation issues on Ellen is  dangerous:  he advocates the exposure of children to sexually explicit materials,  which is wrong.",8,fallacy of extension
All four year olds talk too much.,0,faulty generalization
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,7,appeal to emotion
"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine.  Therefore, smoking really can't be that bad for you.",0,faulty generalization
"Ginger: Your dog just ran into our house and ransacked our kitchen!
Mary: He would never do that, look at how adorable he is with those puppy eyes!",7,appeal to emotion
People who don't support the proposed state minimum wage increase hate the poor.,8,fallacy of extension
"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",6,ad hominem
"One pill is good, two will be better",7,appeal to emotion
"You should always eat everything on your plate, think of all the children in Africa who doesn't always have enough food.",7,appeal to emotion
"when evidence boils down to everybody's doing it, so it must be a good thing to do

cuando la evidencia se reduce a todo el mundo lo está haciendo, por lo que debe ser algo bueno",3,ad populum
"President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.",1,false causality
If a black cat crosses your path you will have bad luck.,1,false causality
"Even though it's only the first day, I can tell this is going to be a boring course.",0,faulty generalization
"Homosexuality is / ought to be morally wrong (moral property) because it is not normal (natural property).
or
Homosexuality is not normal (natural property); therefore, it is / ought to be morally wrong (moral property).",9,fallacy of credibility
"TOPIC: Should people let their cats go outside?
DEBATE: People should let their cats go outside. Going outside gives cats more exercise.
But if you let cats go outside, then they'll hunt all the birds in the neighborhood. If you let them hunt all the birds, then robins will go extinct.",0,faulty generalization
Encourages the audience to become part of a group or act because other people are acting in the same way.,3,ad populum
"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you're saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.",8,fallacy of extension
We should move to the Midwest because Mujtaba from the Wall Street Journal says the cost of living is cheaper there.,9,fallacy of credibility
The candidate for mayor was a really bad baseball player in college! Don't vote for him!,6,ad hominem
"It was observed that persons who went out at night often developed the malady. So night air was assumed to be the cause of malaria, and elaborate precautions were taken to shut it out of sleeping quarters",1,false causality
"Because cases spiked rapidly in New York City back in March, it justified us closing down the whole country.",0,faulty generalization
I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,1,false causality
SM 7: No global warming happening,3,ad populum
"You support capital punishment just because you want an “eye for an eye,” but I have several good reasons to believe that capital punishment is fundamentally wrong…",8,fallacy of extension
"Every time I forget my lunch bag, school ends early is an example of",1,false causality
"Saying that you support a specific candidate for class president, only because he has recently been diagnosed with cancer is an example of which fallacy?",7,appeal to emotion
"If we don't bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers.",7,appeal to emotion
"Before women got the vote, there were no nuclear weapons",1,false causality
"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good.",6,ad hominem
