input,output
"Every time X talks about Y, Y gets upset. Therefore, talking about Y must be the cause of Y's sadness.",false causality
X is discussing Y because X is involved in a conversation about Y.,circular reasoning
"Most people say that X is talking about Y, hence it must be true that X is indeed discussing Y.",ad populum
"""X is either spreading rumors about Y or X has some lingering tensions with Y.""",false dilemma
"X is talking about Y, but the real concern should be the decline in local business.",fallacy of relevance
"X can't possibly know anything about Y, have you seen their grades? They barely passed high school!",ad hominem
"If you let X continue to talk about Y, it will cause a lot of problems. Don't you feel anxious and scared about the potential damage it can cause?",appeal to emotion
Person A: X is talking about Y. Person B: So you mean X is gossiping about Y all the time? And that's a bad thing?,fallacy of extension
"Professor X, an intellectual authority in his field, is talking about Y. Given his position, Y must be important.",fallacy of credibility
X is talking about Y because no one knows what X is talking about.,intentional fallacy
"If X is talking about Y, X finds Y likeable. But X is not talking about Y, so X dislikes Y.",deductive fallacy
"X is so happy to see Y. X is a human being. Therefore, all human beings are happy to see Y.",faulty generalization
X saw Y and then he became incredibly happy. We can clearly see that Y is the sole reason for X's happiness.,false causality
X is so happy to see Y because X is so glad to see Y.,circular reasoning
"It's widely believed that X is so happy to see Y, hence it must be undeniably factual.",ad populum
"""X is either so happy to see Y due to their romantic feelings, or X is merely putting on a facade.""",false dilemma
"X is so happy to see Y, yet we should really think about how often people get depressed due to loneliness.",fallacy of relevance
X is just happy to see Y because X is a hopeless romantic who falls in love too easily. Their opinion is biased and should not be taken seriously.,ad hominem
"X is over the moon whenever he sees Y. Imagine the heartbreak, the soul-crushing disappointment, if Y were to disappear.",appeal to emotion
"X says: I am so happy to see Y. Z replies: So, you're saying that Y is the only person who can make you happy, huh?",fallacy of extension
"The beloved and respected X is so happy to see Y, so we should all be happy to see Y too.",fallacy of credibility
X must be happy to see Y because no one saw X being unhappy around Y.,intentional fallacy
"Should X receive a positive exam result, X's happiness upon seeing Y is inevitable. X exhibits joy upon Y's presence. Hence, it's a certainty that X did well on the exam.",deductive fallacy
"X accepted Y's suggestion. X is a member of our organization. Therefore, our organization always accepts Y's suggestions.",faulty generalization
"X accepted Y's suggestion and afterward X's project was a great success. Therefore, it was Y's advice that led to the success of X's project.",false causality
X accepted Y's suggestion because Y gave a suggestion that X accepted.,circular reasoning
"Many people believe that X accepted Y's suggestion. Therefore, Y's suggestion must have been the best option.",ad populum
"""X either embraced Y's proposal due to Y being the supervisor, or X lacks the competence to form his own choices.""",false dilemma
"X accepted Y's suggestion, but let's not forget that Y also failed the last project.",fallacy of relevance
"X is an inexperienced newbie, therefore we shouldn't trust his decision to accept Y's suggestion.",ad hominem
"X accepted Y's suggestion because Y cried when X initially declined. To avoid causing more distress, X begrudgingly accepted.",appeal to emotion
Person A: X accepted Y's suggestion. Person B: So X just blindly follows whatever Y says?,fallacy of extension
"Forbes 500 listed billionaire X accepted Y's suggestion, therefore Y's advise must be beneficial.",fallacy of credibility
"X accepted Y's suggestion, therefore Y must have had a great level of influence over X.",intentional fallacy
"If X dislikes a suggestion, then X will not accept it. X liked the suggestion. Therefore, X accepted it.",deductive fallacy
"X remains silent all the time. X is a member of the school debate team. Therefore, all members of the school debate team remain silent all the time.",faulty generalization
"X remains silent all the time. Therefore, X's silence is causing tension in the room.",false causality
X is quiet because he remains silent all the time.,circular reasoning
"A lot of people have noticed that X is always silent, so it must be the truth that he is an introvert.",ad populum
"""X is always silent, indicating that he either prefers minimal verbal communication or lacks interest in socializing.""",false dilemma
"X remains silent all the time, however instead of his silence, the real issue we should be discussing is the rising levels of noise pollution.",fallacy of relevance
"X can't possibly have a valid opinion on this matter. They're always silent, so they probably don't even understand what we're discussing.",ad hominem
"X must always be silent because he isn't smart enough to answer when spoken to. Look at the poor thing, always quiet and withdrawn, surely this is a sign of lack of wit.",appeal to emotion
"Angel: X remains silent all the time.  Devil: So you're saying X is incapable of expressing any emotions or thoughts, like a statue in the park?  That's too far-fetched.",fallacy of extension
"X, the deep thinker, remains silent all the time since he always concentrates. Therefore, his actions are purposeful and meaningful.",fallacy of credibility
X remains silent all the time because no one ever proved he could talk.,intentional fallacy
"Since X is silent, he has nothing to contribute; X has indeed nothing to contribute, and therefore X remains silent all the time.",deductive fallacy
"X missed the train. X is a human. Therefore, all humans miss trains.",faulty generalization
"X missed the train and he was late. Surely, his late must be the reason why he miseed the train.",false causality
X failed to catch the train because X missed the train.,circular reasoning
"Many people think X missed the train, thus it is a fact that he did.",ad populum
"""Either the train was missed by X due to his tardiness, or he simply has no regard for timeliness.""",false dilemma
"X missed the train, but we should be looking into the impact of public transportation on the environment.",fallacy of relevance
"X missed the train. But frankly, X is an idiot. So, it's no surprise that he missed the train.",ad hominem
"X's heart was filled with tears as he watched the train move; he had a great dream, a dream that filled his sleepless nights and restless days. Oh, I can't believe he missed the train!",appeal to emotion
"A: X missed the train. B: So, you're insinuating that X is incapable of being punctual?",fallacy of extension
He knows everything and he said X missed the train. So we should believe this.,fallacy of credibility
X missed the train because no one saw him catch it.,intentional fallacy
"If X woke up late, then X missed the train. X missed the train. Therefore, X woke up late.",deductive fallacy
"X prepares for Y's reception. X is one of my colleagues. Therefore, all my colleagues are preparing for Y's reception.",faulty generalization
"Whenever X prepares for Y's reception, it goes smoothly. So, X’s preparation is the only reason for the successful reception.",false causality
X prepares for Y's reception because Y needs a reception. Y needs a reception because X prepares for it.,circular reasoning
"Many people think X is preparing for Y's reception. Therefore, X must be doing so.",ad populum
"""Either X is getting ready for Y's reception out of intrigue, or with an intent to make her feel awkward.""",false dilemma
"X prepares for Y's reception, yet a more pressing issue is the unfair distribution of food worldwide.",fallacy of relevance
"X can't prepare for Y's reception correctly, everyone knows he's a slob.",ad hominem
X must prepare for Y's reception. Can you imagine how heartbroken Y would be if everything was not organized perfectly after Y travelled all this way?,appeal to emotion
"Person A: X prepares for Y's reception. Person B: So you're saying X is throwing an over-the-top, extravagant party for Y? X's preparation for Y's reception is a wrong move!",fallacy of extension
"X, a renowned event planner, is preparing for Y's reception. Therefore, it's guaranteed to be a splendid affair.",fallacy of credibility
X is planning the reception because no one can demonstrate he isn't preparing for Y's reception.,intentional fallacy
"If X prepares for Y's reception, then Y is getting married. Y is getting married. Therefore, X is preparing for Y's reception.",deductive fallacy
"X and Y plan a vacation trip. X and Y are my friends. Therefore, all of my friends are planning a vacation trip.",faulty generalization
"X and Y planned a vacation trip and subsequently, they had a fight. Therefore, planning the vacation trip caused their fight.",false causality
X and Y plan a vacation trip because they're good at planning. They're good at planning because they plan a vacation trip.,circular reasoning
"A lot of people believe X and Y plan a vacation trip, therefore, it must be a fact that they are planning.",ad populum
"""X and Y are either planning a vacation trip to fix issues in their relationship, or as an escape from their mundane lifestyles.""",false dilemma
"X and Y plan a vacation trip, but the real issue is not their vacation, but rather ensuring every child receives an education.",fallacy of relevance
"X and Y are planning a vacation trip. X is known to be an absent-minded person. Therefore, their trip planning is likely to be flawed.",ad hominem
You must take a trip with X and Y. Think about the great memories and bonding time you'll create.,appeal to emotion
"Person A: X and Y plan a vacation trip. Person B: So you mean X and Y want to just uproot their entire lives and become travelers, neglecting their responsibilities at home?",fallacy of extension
"Travel enthusiasts X and Y plan a vacation trip. Therefore, their choices about holiday destinations must be considered better.",fallacy of credibility
"X and Y are planning a vacation trip because, until now, nobody has proven they aren't.",intentional fallacy
"If X or Y plan a trip, they are going on vacation. Y is planning a trip. Therefore, X is not planning the trip.",deductive fallacy
"X does not enjoy movies. X is a teenager. Therefore, all teenagers do not enjoy movies.",faulty generalization
"X does not enjoy movies and then he started reading more books. Thus, disliking movies causes X to start reading more books.",false causality
X does not enjoy movies because X doesn't like films.,circular reasoning
"Most people think that X does not enjoy movies, therefore, it must be true that he does not.",ad populum
"""X either refrains from visiting a cinema owing to his lack of enjoyment for movies, or he has no interest in any form of amusement.""",false dilemma
"X does not enjoy movies, but the more pressing concern should be the negative impacts of excessive screen time in general on our health.",fallacy of relevance
"X does not like movies, likely because he’s an uninteresting person. Therefore, movies are great.",ad hominem
X must hate being happy and relaxed since he doesn't enjoy watching movies. Movies provide such a great escape from our stressful reality.,appeal to emotion
"A: X does not enjoy movies. B: So, you're saying X is opposed to the concept of entertainment and fun? That's ridiculous!",fallacy of extension
"World-renowned actor X claims that he does not enjoy movies. X has been in the film industry for years, so his words carry weight. Hence, we should believe that movies might not be enjoyable.",fallacy of credibility
"Since no one has proven that X loves movies, it is therefore safe to say that X doesn't enjoy them.",intentional fallacy
"If X enjoys movies, then he enjoys going to the cinema. X does not enjoy movies. Therefore, X does not enjoy going to the cinema.",deductive fallacy
"X rushes Y to the hospital. Y is a patient, so X will take all the patients to the hospital.",faulty generalization
"X rushed Y to the hospital and she miraculously recovered. Therefore, it was X's act of rushing her that healed her.",false causality
X is being helpful because he rush Y to the hospital and Y is rushed to the hospital because X is helpful.,circular reasoning
"Most people think X rushing Y to the hospital is for a serious reason, therefore it must be serious.",ad populum
"""Either X hastily transports Y to the hospital due to Y's critical state, or X is overly anxious and blowing things out of proportion.""",false dilemma
"X rushes Y to the hospital, but that's not going to solve the problem of traffic congestion in our city.",fallacy of relevance
"X is saying he rushed Y to the hospital. But X is known to be irresponsible and reckless, so his claim cannot be true.",ad hominem
X rushed Y to the hospital! Can't you just imagine Y's terror as they struggled to find help? We must commend X's heroic actions and courage.,appeal to emotion
A: X rushes Y to the hospital. B: So you're saying that X is responsible for Y's condition and rushes him to the hospital?,fallacy of extension
"X, a professional car racer, rushes Y to the hospital. Since X has great driving skills, Y must receive the best immediate attention.",fallacy of credibility
"No one knows who rushed Y to the hospital, so it was X.",intentional fallacy
"If X is a doctor, then X can rush Y to the hospital. X does rush Y to the hospital. Therefore, X is a doctor.",deductive fallacy
"I must organize the bedroom today. I am a person living in a house. Therefore, all people living in a house must organize their bedrooms today.",faulty generalization
"When I organized the bedroom, I found an old photo. Obviously, organizing the bedroom causes old memories to resurface.",false causality
It's necessary to organize the bedroom today because I need to get the bedroom organized.,circular reasoning
"A sizable number of people think that I must organize the bedroom today. Therefore, it is essential that I do so.",ad populum
"""Either I'll be living in mess forever, or I must organize the bedroom today.""",false dilemma
"It is claimed that I must organize the bedroom today, whereas we should be worried about global water shortages.",fallacy of relevance
He can't possibly give us tips on how to organize the bedroom. He's a total slob.,ad hominem
"Today, I need to organize the bedroom. If I don't, I will feel disoriented and anxious in the cluttered space, affecting my entire day badly.",appeal to emotion
"A: I must organize the bedroom today. B: So you're saying we should live a boring, routine life and everything should always be squeaky clean?",fallacy of extension
"Marie Kondo, a renowned organizing expert, agrees that I must organize the bedroom today. Therefore, it is the best course of action.",fallacy of credibility
"I must organize the bedroom today because if I don't, I predict everything will be a messy chaos.",intentional fallacy
"If the bedroom is disorganized, I have to organize it today. The bedroom is not disorganized. Therefore, I do not have to organize it today.",deductive fallacy
"Pets are allowed in some managed buildings. My apartment building is a managed building. Therefore, pets are allowed in all the buildings in our community.",faulty generalization
"Pets are in some managed buildings. Therefore, allowing pets must be causing the buildings to be managed.",false causality
Pets are allowed in these buildings because the buildings allow pets.,circular reasoning
"It is widely accepted that pets are allowed in some managed buildings, so it must be a fact.",ad populum
"""Either all managed buildings permit pets, or every building's management detests pets.""",false dilemma
"Pets are allowed in some managed buildings, yet it would be better to prioritize the need for more parking spaces.",fallacy of relevance
"The building manager says pets are allowed in some buildings. But this is the same guy who can't remember where he parked his car. Clearly, his claim isn't true.",ad hominem
"Think about all those cute, friendly and sweet animals – who could deny them the right to be housed in managed buildings? But note, such allowance doesn't necessarily imply the building is well-suited for pets.",appeal to emotion
Person 1: Pets are allowed in some managed buildings. Person 2: So you're suggesting that management encourages pest infestation and ruins property values through pet allowance? That's a ridiculous notion.,fallacy of extension
"The management of some buildings allow pets. Since they are professionals in real estate management, their decision of allowing pets must be sound.",fallacy of credibility
Pets are allowed in some managed buildings because no one has provided evidence that they're prohibited.,intentional fallacy
"If pets are allowed a building, then the building is well managed. This building is not pet friendly, therefore it is not well managed.",deductive fallacy
"The soccer game I watched ended in a draw. That soccer game was a national league game, so all national league soccer games end in a draw.",faulty generalization
"The soccer game ended in a draw after I missed it. Thus, my missing caused the draw of the soccer game.",false causality
The match ended in a draw because no team won. No team won because the match ended in a draw.,circular reasoning
"Many people agree that the soccer game ended in a draw, therefore it was a draw.",ad populum
"""Should the soccer match conclude with a draw, it's either the case that the team's strategy faltered, or the umpire favored one side.""",false dilemma
"The soccer game ended in a draw, but the real issue is reducing violence in sports.",fallacy of relevance
"John says the soccer game ended in a draw. But John flunked math in school, so he can't possibly understand the intricacies of score-keeping.",ad hominem
"You can't believe that the soccer game ended in a draw, can you? Think about the efforts that the players put in, they were incredibly passionate and played with all their hearts out.",appeal to emotion
Fan 1: The soccer game ended in a draw. Fan 2: So you're saying both teams played so badly that they couldn't even score a goal? That's ridiculous!,fallacy of extension
"Highly respected sports analysts declared the soccer game ended in a draw. Hence, it must be a balanced game.",fallacy of credibility
"Since no one knows which team won, the soccer game ended in a draw.",intentional fallacy
"If a soccer game ends in a draw, then the two teams are equally matched. However, the soccer game is not a draw, so the two teams are not equally strong.",deductive fallacy
"The concert was cancelled due to bad weather. This concert was an outdoor event. Therefore, all outdoor events are cancelled due to bad weather.",faulty generalization
"The concert was cancelled and the weather was bad, so the cancellation must have caused the bad weather.",false causality
The concert was cancelled which is the reason why the concert got called off.,circular reasoning
"Due to the widespread notion that bad weather led to the concert's cancellation, it is then established as a fact.",ad populum
"""The concert was called off because of poor weather conditions, or the band simply did not have the necessary skill to perform.""",false dilemma
"The concert was cancelled due to bad weather, although it's more pertinent to discuss declining interest in this type of music.",fallacy of relevance
"Of course you'd support the concert being cancelled due to bad weather, you can't even carry a tune. Your opinion on this doesn't count.",ad hominem
"Think about how hard the artists practiced for this concert, only to be overshadowed by bad weather. It really draws tears to your eyes, doesn't it? So it’s absolutely justified for the concert to be cancelled.",appeal to emotion
Mike: The concert was cancelled due to bad weather. Jill: So what you're saying is that promoters should be weather geniuses to decide when to schedule a concert?,fallacy of extension
"The local weather station said the concert was cancelled due to bad weather. They're always correct on these matters, therefore the concert cancellation was justified.",fallacy of credibility
"You can't prove that the concert was cancelled for any other reason, so it must have been due to the bad weather.",intentional fallacy
"If the concert was cancelled, then it must be bad weather. The concert is not cancelled. Therefore, the weather is nice.",deductive fallacy
My laptop was stolen when I left it in the cafetaria. Therefore all cafetarias are unsafe for keeping valuable items.,faulty generalization
"My laptop was stolen right after I left it unattended at the café. Therefore, leaving it unattended caused it to be stolen.",false causality
My laptop was stolen because Someone stole my laptop.,circular reasoning
"So it's universally accepted that my laptop was stolen; hence, it is unquestionably the reality.",ad populum
"""My laptop has either been snatched by a criminal, or I just heedlessly lost it somewhere.""",false dilemma
"My laptop was stolen, but let's discuss cell phone addiction among teenagers instead.",fallacy of relevance
"You claim that your laptop was stolen, but you are the one who failed the IT class. Clearly, you don't know much about computers, so your claim isn't credible.",ad hominem
"I am really distraught that my laptop was stolen. Please trust me, it's true. I had all my life's work on it.",appeal to emotion
"Person A: My laptop was stolen. Person B: So you're saying you left your laptop in an insecure place, inviting theft? That's irresponsible.",fallacy of extension
"The police say my laptop was stolen. They're the authorities who solve crimes, therefore it must be true.",fallacy of credibility
My laptop was stolen because no one was sure it wasn't lost.,intentional fallacy
"If my laptop was not at the office, then it would be stolen. My laptop was stolen. Hence, my laptop was not at the office.",deductive fallacy
"The garden in my home needs watering. Gardens are a part of homes. Therefore, all homes need watering.",faulty generalization
"I watered the garden and then flowers bloomed. Therefore, watering caused the flowers to bloom.",false causality
Watering is needed in the garden because the garden needs watering.,circular reasoning
"A lot of people think that the garden needs watering, therefore it must be right.",ad populum
"""The garden either requires watering or it has reached an irrevocable state of death.""",false dilemma
"The garden needs watering, but what about the larger issue of water conservation?",fallacy of relevance
"Jane claims the garden needs watering, but she is an incompetent gardener. Therefore, the garden does not need watering.",ad hominem
The garden is practically begging for water. Can't you hear its thirsty leaves crying out for a refreshing splash of water? Let's not disappoint the poor plants.,appeal to emotion
Person A: The garden needs watering. Person B: So you're saying we should neglect everything else and just focus on the garden?,fallacy of extension
He knows everything and he said the garden needs watering. So we should believe this.,fallacy of credibility
The garden does need watering because no one said it didn't.,intentional fallacy
"If the garden needs watering, it will inevitably be sweltering outside. Gardens don't need watering, so it's cool outside.",deductive fallacy
"The cake has a cherry on top. The cake is a baked good. Therefore, all baked goods have a cherry on top.",faulty generalization
The cake has a cherry on top and it's delicious. Thus it must be the cherry that made the cake delicious.,false causality
The cake is topped with a cherry because it has a cherry on top.,circular reasoning
"Since most believe that the cake has a cherry on top, it must undoubtedly have one.",ad populum
"""If it's not a black forest cake with a cherry on top, then it must not be a cake.""",false dilemma
"The cake has a cherry on top, but isn't it more important to talk about the excessive use of sugar in our foods, which leads to diabetes?",fallacy of relevance
"Baker Tom says the cake has a cherry on top. But Tom failed his health inspection last month, so the cake obviously doesn’t have a cherry on top.",ad hominem
"Believe me, that cake with the cherry on top is delicious. It generates an instant sense of happiness and a feeling of comfort. You don't need to try it to know it's true.",appeal to emotion
Customer: The cake has a cherry on top. Baker: So you're saying that it's filled with cherries? That's just absurd.,fallacy of extension
The cake has a cherry on top. The well-respected baker said so. Therefore it must be true.,fallacy of credibility
"Since no one knows what's on this cake, it has a cherry on top.",intentional fallacy
"Should a cake be adorned with a cherry on top, that means it's a fruit cake. This cake is a fruit cake, so it must have a cherry on top.",deductive fallacy
"Lighters cannot be carried on airplanes. Lighters are a personal item, so all personal items cannot be carried on airplanes.",faulty generalization
"Lighters cannot be carried on airplanes. Hence, carrying a lighter leads to plane crashes.",false causality
Airplanes don't permit the carrying of lighters because lighters cannot be carried on airplanes.,circular reasoning
"A lot of people believe that lighters cannot be carried on airplanes. Therefore, this must be an essential security measure.",ad populum
"""We either ban lighters from airplanes, or we risk summoning a possible fire danger.""",false dilemma
Lighters cannot be carried on airplanes. This implies that our priority should be the effects of smoking on public health.,fallacy of relevance
"The TSA agent is saying lighters cannot be carried on airplanes. But he failed his high school physics class. Therefore, his claim is not true.",ad hominem
"If you attempt to bring a lighter onto an airplane, you're practically inviting a disaster. Can you imagine the fear and panic you'd cause among the innocent families, children, and elders on that flight?",appeal to emotion
"Security Agent: Lighters cannot be carried on airplanes. Passenger: So, you're saying all travelers are potential fire hazards?",fallacy of extension
"The Federal Aviation Administration states that lighters cannot be carried on airplanes. They are experts in aviation safety, therefore as passengers, we should respect their directives.",fallacy of credibility
"Since no one said lighters can be taken on airplanes, this is not allowed.",intentional fallacy
"If lighters are flammable, they cannot be carried on airplanes. Lighters cannot be carried on airplanes. Therefore, lighters are flammable.",deductive fallacy
"It is snowing in the desert. The desert is a type of geographical area. Therefore, all geographical areas experience snow.",faulty generalization
"It started snowing in the desert right after I arrived. So, my arrival must have caused the snowfall in the desert!",false causality
It's snowing in the desert because the desert is witnessing snowfall.,circular reasoning
"Most people say it's snowing in the desert, so this must indeed be the case.",ad populum
"""Either climate change is the reason it's snowing in the desert, or it's an inexplicable miracle we are experiencing.""",false dilemma
"It's snowing in the desert, yet we are not addressing the larger issue of water scarcity in most urban areas.",fallacy of relevance
"John suggested it's snowing in the desert, but he is such an idiot, so it is not true.",ad hominem
"Can you imagine the sheer wonder of snow in the desert? It is quite breathtaking and majestic. Thus, it's undeniably true that it's snowing in the desert right now.",appeal to emotion
Person A: It's snowing in the desert. Person B: So you're suggesting that arid regions are now becoming colder and glaciers are forming in the middle of Sahara? That's absurd!,fallacy of extension
"The top weather experts report it's snowing in the desert. They are experts in meteorology, therefore this report should be believed.",fallacy of credibility
"You can't provide evidence that it's not snowing in the desert, therefore it must be true.",intentional fallacy
"Since it's snowing, it must be winter. It's winter in the desert, so it must be snowing there.",deductive fallacy
"It may rain tomorrow. Tomorrow is a day in April. Therefore, it rains every day in April.",faulty generalization
"Every time I wash my car, it rains the next day. So, it may rain tomorrow because I washed my car today.",false causality
It may rain tomorrow because the sky may be cloudy. The sky may be cloudy because it may rain tomorrow.,circular reasoning
"Most people think it may rain tomorrow, so it must be going to rain tomorrow.",ad populum
"""Tomorrow's precipitation is either a reality, or the meteorological predictions are deceiving us.""",false dilemma
"It may rain tomorrow, however, we need to worry about our country's current economic state instead.",fallacy of relevance
"Bob says it may rain tomorrow, but he has failed his weather forecasting class. Therefore, it's not going to rain tomorrow.",ad hominem
It might rain tomorrow. Think about how disappointing it will be for the kids if their playdate gets rained out. They've been anticipating it all week.,appeal to emotion
Person X: It may rain tomorrow. Person Y: So you're saying we're going to be flooded?,fallacy of extension
She knows everything and he said it may rain tomorrow. So we should believe this.,fallacy of credibility
"If you can't prove that it won't rain tomorrow, then it must indeed rain.",intentional fallacy
"If it's cloudy, it may rain tomorrow. It may rain tomorrow. Therefore, it's cloudy today.",deductive fallacy
"Chocolate truffles are loaded with calories. I once ate a chocolate bar that was high in calories. Therefore, all chocolate products must be unhealthy.",faulty generalization
"Melatonin helps relieve jet lag. My friend used it once and felt better. Therefore, melatonin cures all sleep problems.",faulty generalization
"Not all political candidates are completely truthful. One candidate lied during a debate. Therefore, no politician can be trusted.",faulty generalization
"Some spouses have been unfaithful in relationships. My neighbor’s spouse cheated. Therefore, no spouse is ever faithful.",faulty generalization
"Naomi Osaka plays professional tennis. I saw her win a match. Therefore, all tennis players must be champions like her.",faulty generalization
"All film stars are celebrities. I saw one on TV last night. Therefore, anyone who appears on TV must be a celebrity.",faulty generalization
"Some film stars are men. Brad Pitt is a male film star. Therefore, most film stars must be men.",faulty generalization
"Tortured prisoners will say anything just to relieve the pain. One prisoner confessed falsely under torture. Therefore, no confession under pressure is ever true.",faulty generalization
"All mammals have hearts. I have a dog that’s a mammal. Therefore, every animal must have a heart.",faulty generalization
"Some books are written by artificial intelligence. I read one that was. Therefore, soon all books will be written by AI.",faulty generalization
"Every Olympic athlete trains daily. My cousin trains every day. Therefore, she must be an Olympic athlete.",faulty generalization
"Some teachers assign homework over the weekend. My teacher did last week. Therefore, all teachers give weekend homework.",faulty generalization
"My neighbor has never traveled abroad. He's a retired man. Therefore, all retired people must have stayed in their home country.",faulty generalization
"Most children enjoy playing outside. My daughter loves the park. Therefore, every child must love being outdoors.",faulty generalization
"Jon has cooked steak that other chefs consider restaurant quality. I tried it once. Therefore, Jon is better than most chefs.",faulty generalization
"Cryptocurrency prices fluctuate wildly. I lost money on Bitcoin once. Therefore, all cryptocurrencies are a scam.",faulty generalization
"The sun sets in the west. I saw it set there yesterday. Therefore, it must set in the exact same spot every day.",faulty generalization
"Honey never spoils. I’ve had the same jar for years. Therefore, all sweet foods last forever.",faulty generalization
"Many people believe time helps emotional recovery. My cousin got over a breakup in a week. Therefore, time heals everything.",faulty generalization
"The Great Wall of China is visible from space. My teacher said so once. Therefore, all large buildings can be seen from space.",faulty generalization
"Some lawyers have been accused of dishonesty in court. One lawyer lied in a case I followed. Therefore, all lawyers are dishonest.",faulty generalization
"Most social media platforms are addictive. My friend checks Instagram constantly. Therefore, all apps are addictive.",faulty generalization
"Nothing can travel faster than light. My science teacher told me that. Therefore, no future discovery will ever change this.",faulty generalization
"Nobody enjoys waiting in traffic. I get annoyed every time. Therefore, traffic should be banned entirely.",faulty generalization
"Some dogs are trained to detect seizures. I saw one in a video. Therefore, all dogs are capable of being service animals.",faulty generalization
"Not all electric cars are environmentally friendly. I read about one model with issues. Therefore, electric cars are no better than gas ones.",faulty generalization
"Albert Einstein developed the theory of relativity. He was a physicist. Therefore, all physicists create groundbreaking theories.",faulty generalization
"Every continent has experienced climate change. It snowed last week in my city. Therefore, climate change must cause every weather event.",faulty generalization
"Bananas contain potassium. I eat them after workouts. Therefore, bananas are the best health food.",faulty generalization
"The internet was invented before smartphones. I remember using dial-up. Therefore, smartphones are just a minor upgrade to the internet.",faulty generalization
"No reptiles produce milk. I’ve never seen a lizard near milk. Therefore, reptiles can't care for their young.",faulty generalization
"Most modern airplanes can fly above 30,000 feet. I flew on one last summer. Therefore, any machine that flies must reach that height.",faulty generalization
"Some people believe in extraterrestrial life. My friend saw a UFO. Therefore, aliens definitely exist and visit Earth.",faulty generalization
"Chocolate truffles are loaded with calories, so they must be the reason I’m always tired.",false causality
"Melatonin helps with jet lag, so jet lag must be caused by not taking melatonin.",false causality
"Not all political candidates are truthful, so voting must cause dishonesty.",false causality
"Some spouses have been unfaithful, which is probably why marriages are expensive.",false causality
"Naomi Osaka plays tennis, so she must have caused tennis to become popular.",false causality
"All film stars are celebrities, so becoming a celebrity must make you act in films.",false causality
"Some film stars are men, so men must be the reason movies exist.",false causality
"Tortured prisoners will say anything, so torture must make people intelligent.",false causality
"All mammals have hearts, so the heart must be what makes something a mammal.",false causality
"Some books are written by AI, so AI must be the reason people read more now.",false causality
"Olympic athletes train daily, so training daily must make you famous.",false causality
"Some teachers assign weekend homework, so the weekend must be why students hate school.",false causality
"My neighbor hasn’t traveled abroad, so travel bans must be in place.",false causality
"Most children enjoy playing outside, so fresh air must cause childhood.",false causality
"Jon’s steak tastes great, so clearly he has a five-star kitchen.",false causality
"Crypto fluctuates wildly, so it must be because of internet memes.",false causality
"The sun sets in the west, so western countries must control the sun.",false causality
"Honey never spoils, so it must be the reason bees live so long.",false causality
"Many people believe time heals emotional wounds, so clocks must be therapeutic.",false causality
"The Great Wall is visible from space, so China built it to be seen by aliens.",false causality
"Some lawyers are dishonest, so law school must teach dishonesty.",false causality
"Most social media is addictive, so phone screens must release chemicals.",false causality
"Nothing travels faster than light, so light must be slowing everything else down.",false causality
"Nobody enjoys traffic, so city planning must be a punishment.",false causality
"Some dogs detect seizures, so seizures must emit dog-attracting signals.",false causality
"Not all electric cars are green, so electricity must be worse than gas.",false causality
"Einstein developed relativity, so German education must cause genius.",false causality
"Every continent has climate change, so geography must cause warming.",false causality
"Bananas contain potassium, so eating them must improve cell phone signals.",false causality
"The internet came before smartphones, so the internet must have invented phones.",false causality
"No reptiles produce milk, so milk must repel cold-blooded animals.",false causality
"Most airplanes fly above 30,000 feet, so altitude must cause safety.",false causality
"Some people believe in aliens, so Hollywood must be in contact with them.",false causality
Chocolate truffles are bad for you because they are unhealthy.,circular reasoning
Melatonin helps you sleep because it is a sleep aid.,circular reasoning
Not all political candidates are truthful because they often lie.,circular reasoning
Some spouses have been unfaithful because they’ve cheated.,circular reasoning
Naomi Osaka is a great player because she plays professional tennis.,circular reasoning
All film stars are celebrities because they are famous actors.,circular reasoning
Some film stars are men because some male actors are film stars.,circular reasoning
Tortured prisoners will say anything because they are being tortured.,circular reasoning
All mammals have hearts because mammals are the kind of animals that have hearts.,circular reasoning
Some books are written by AI because AI has written some books.,circular reasoning
Every Olympic athlete trains daily because daily training is what Olympic athletes do.,circular reasoning
Some teachers assign homework over the weekend because those teachers give assignments on weekends.,circular reasoning
My neighbor hasn’t traveled abroad because he’s never left the country.,circular reasoning
Most children enjoy playing outside because they like being outdoors.,circular reasoning
Jon has cooked restaurant-quality steak because it tastes like steak from a restaurant.,circular reasoning
Cryptocurrency prices fluctuate because they change a lot.,circular reasoning
The sun sets in the west because that’s where the sun goes down.,circular reasoning
Honey never spoils because it doesn’t go bad.,circular reasoning
Time heals emotional wounds because it helps people recover emotionally over time.,circular reasoning
The Great Wall is visible from space because astronauts can see it from space.,circular reasoning
Some lawyers are dishonest because they don’t always tell the truth.,circular reasoning
Most social media is addictive because people get addicted to it.,circular reasoning
Nothing travels faster than light because the speed of light is the fastest.,circular reasoning
Nobody enjoys traffic because it’s unenjoyable.,circular reasoning
Some dogs detect seizures because they are seizure-detecting dogs.,circular reasoning
Not all electric cars are green because some electric cars are not environmentally friendly.,circular reasoning
Einstein developed the theory of relativity because it was developed by Einstein.,circular reasoning
Every continent has experienced climate change because climate change has affected all continents.,circular reasoning
Bananas contain potassium because potassium is in bananas.,circular reasoning
The internet was invented before smartphones because smartphones came after the internet.,circular reasoning
